24166,4,Z4,2018,4,Yellow,9,2,188056.87,68.84
51722,3,Silverado,2016,5,Yellow,6,1,87787.01,38.67
71883,5,S-Class,2008,7,Red,9,3,175043.29,28.53
63050,1,Camry,2000,7,Black,9,2,174892.14,85.85
19798,7,Maxima,2018,5,Green,4,3,138146.44,296.45
99990,4,Z4,2013,7,Silver,2,1,132119.92,285.49
89945,10,Elantra,2021,7,Grey,7,3,22408.37,202.73
63344,2,Mustang,2021,5,Blue,8,2,185156.81,92.31
44318,3,Silverado,2005,4,Green,2,2,104427.61,30.32
31300,1,Camry,2007,4,Brown,8,3,89724.14,143.65
24276,10,Sonata,2013,7,Blue,9,1,60891.16,149.19
66240,2,Mustang,2010,4,Green,4,1,162989.73,201.28
26594,3,Silverado,2018,4,Black,2,1,185751.49,221.98
93149,3,Silverado,2009,5,Green,1,1,135586.32,80.67
27410,5,S-Class,2013,4,Grey,9,1,123489.21,50.7
29503,7,Maxima,2013,5,Red,7,2,114126.77,221.49
32795,1,RAV4,2001,5,Silver,5,1,23430.68,269.68
63530,5,C-Class,2015,2,Blue,10,2,56134.05,76.92
37685,4,X5,2011,5,Brown,10,3,4950.96,294.68
37337,10,Tucson,2016,4,Red,6,2,44224.61,230.77
84865,1,Camry,2021,2,Yellow,5,2,107582.41,30.54
96074,8,Golf,2014,2,Silver,4,3,81643.03,44.04
20734,3,Malibu,2008,5,Orange,6,3,82127.81,199.83
60950,4,3 Series,2006,4,Black,3,1,106498.07,177.57
45892,9,A6,2001,7,Orange,6,1,179936.85,39.25
84264,3,Impala,2002,4,Silver,7,2,107449.37,70.19
84287,3,Silverado,2011,4,White,3,2,5517.22,225.9
55087,5,C-Class,2009,2,Grey,5,3,17220.37,156.58
66352,3,Malibu,2009,2,Green,4,3,85141.47,156.64
41964,10,Sonata,2012,4,Black,8,2,185674.11,94.63
50983,5,E-Class,2019,2,Grey,7,3,188618.77,29.65
52122,7,Altima,2012,2,Red,10,1,51574.55,298.87
70888,9,A3,2011,2,Brown,6,2,16159.32,273.92
32797,2,Focus,2018,7,Silver,3,1,146095.66,40.7
46230,4,Z4,2023,5,Green,2,1,82013.82,96.91
84704,1,RAV4,2010,4,Green,5,1,181492.8,171.23
80286,1,Corolla,2007,5,Silver,4,3,117762.59,167.63
53521,8,Polo,2016,7,Black,4,2,156229.21,195.65
36145,7,Altima,2000,4,Grey,1,3,64241.05,268.73
10408,6,Civic,2023,2,Silver,10,2,178919.31,279.03
88255,5,E-Class,2005,5,Red,1,1,198316.25,282.78
21133,4,X5,2022,5,White,5,2,184707.3,255.77
98495,8,Golf,2011,7,Grey,4,2,55446.97,151.06
54446,9,A4,2005,4,White,5,3,4243.82,123.51
67561,6,CR-V,2022,2,Green,5,2,159977.81,191.03
67858,9,A3,2013,5,Yellow,5,3,62409.86,44.51
50352,7,Altima,2002,7,Orange,1,1,150950.17,199.95
99514,6,Accord,2006,2,White,8,2,6835.6,136.69
90971,7,Maxima,2021,7,White,1,1,141796.15,269.78
91760,5,S-Class,2009,7,Orange,2,3,18744.99,178.26
